host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
t,Treme - Lafitte,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,201.0,3,60,13,43,73,155,276,4.93,4.94,4.87,4.99,4.97,4.86,4.91,f
t,Holy Cross,Entire residential home,Entire home/apt,4,2 baths,2.0,2.0,110.0,30,60,0,0,0,0,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f
t,Marigny,Entire residential home,Entire home/apt,10,3 baths,5.0,10.0,543.0,2,30,15,45,75,324,148,4.91,4.91,4.88,4.97,4.99,4.84,4.77,f
f,Mid-City,Private room in residential home,Private room,2,1 private bath,1.0,1.0,65.0,100,1125,0,0,0,0,8,5.0,5.0,4.67,5.0,5.0,5.0,5.0,t
t,Central City,Entire residential home,Entire home/apt,6,1 bath,3.0,3.0,420.0,1,600,26,50,80,335,53,4.78,4.84,4.78,4.88,4.88,4.78,4.52,f
t,St. Claude,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,99.0,2,45,10,17,40,107,407,4.73,4.8,4.57,4.94,4.9,4.57,4.77,t
t,Bywater,Entire residential home,Entire home/apt,4,1.5 baths,2.0,2.0,186.0,30,1125,27,33,53,328,23,4.87,4.86,4.86,4.91,4.77,4.86,4.68,f
f,Central City,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,208.0,30,1125,23,53,83,358,15,4.43,4.58,4.75,4.18,4.67,4.55,4.27,f
t,Central Business District,Entire villa,Entire home/apt,4,1 bath,1.0,2.0,328.0,7,14,30,60,90,365,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f
t,Treme - Lafitte,Entire rental unit,Entire home/apt,6,2 baths,3.0,6.0,345.0,1,60,0,3,3,4,116,4.72,4.57,4.7,4.95,4.91,4.73,4.63,t
t,Bywater,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,160.0,3,1125,20,46,76,341,226,4.98,4.96,4.96,4.99,4.99,4.88,4.9,f
